name,town_city,country
Allianz Stadium Twickenham,London,England
Stade de France,Paris,France
Aviva Stadium,Dublin,Ireland
Stadio Olimpico,Rome,Italy
Murrayfield,Edinburgh,Scotland
Principality Stadium,Cardiff,Wales
Stade Pierre-Mauroy,Lille,France
Estadio José Amalfitani,Buenos Aires,Argentina    
Allianz Stadium Sydney,Sydney,Australia    
HFC Bank Stadium,Suva,Fiji         
Japan National Stadium,Tokyo,Japan        
Eden Park,Auckland,New Zealand
Ellis Park Stadium,Johannesburg,South Africa 
Twickenham Stadium,London,England
Bluenergy Stadium,Udine,Italy
Cardiff City Stadium,Cardiff,Wales
Estadio Mario Alberto Kempes,Córdoba,Argentina
Estadio San Juan del Bicentenario,San Juan Province,Argentina
Estadio Unico Madre de Ciudades,Santiago del Estero,Argentina
Groupama Stadium,Décines-Charpieu,France
HBF Park,Perth,Australia
Hill Dickinson Stadium,Liverpool,England
Hnry Stadium,Wellington,New Zealand
Hollywoodbets Kings Park,Durban,South Africa
Loftus Versfeld,Pretoria,South Africa
McDonald Jones Stadium,Newcastle,Australia
National Olympic Stadium
One New Zealand Stadium,Christchurch,New Zealand
Prince Chichibu Memorial Rugby Stadium,Tokyo,Japan
Principality Stadium,Cardiff,Wales
Murrayfield,Edinburgh,Scotland
Stade de France,Paris,France
Stadio Luigi Ferraris,Genoa,Italy
Suncorp Stadium,Brisbane,Australia
