competition,season,round,venue,referee,date,kickoff_time,home_team,home_country,away_team,away_country,home_tries,away_tries,home_score,away_score
Nations Championship Northern Series,2026,4,Aviva Stadium,,2026-11-06,20:10,Ireland,Ireland,Los Pumas,Argentina,,,,
Nations Championship Northern Series,2026,4,Allianz Stadium Sydney,,2026-11-07,11:40,Azzurri,Italy,Springboks,South Africa,,,,
Nations Championship Northern Series,2026,4,Murrayfield,,2026-11-07,14:10,Scotland,Scotland,All Blacks,New Zealand,,,,
Nations Championship Northern Series,2026,4,Principality Stadium,,2026-11-07,16:40,Wales,Wales,Brave Blossoms,Japan,,,,
Nations Championship Northern Series,2026,4,Groupama Stadium,,2026-11-07,20:10,Les Bleus,France,Flying Fijians,Fiji,,,,
Nations Championship Northern Series,2026,4,Twickenham Stadium,,2026-11-08,15:10,England,England,Wallabies,Australia,,,,
Nations Championship Northern Series,2026,5,Stade de France,,2026-11-13,20:10,Les Bleus,France,Springboks,South Africa,,,,
Nations Championship Northern Series,2026,5,Stadio Luigi Ferraris,,2026-11-14,11:40,Azzurri,Italy,Los Pumas,Argentina,,,,
Nations Championship Northern Series,2026,5,Principality Stadium,,2026-11-14,14:10,Wales,Wales,All Blacks,New Zealand,,,,
Nations Championship Northern Series,2026,5,Twickenham Stadium,,2026-11-14,16:40,England,England,Brave Blossoms,Japan,,,,
Nations Championship Northern Series,2026,5,Aviva Stadium,,2026-11-14,20:10,Ireland,Ireland,Flying Fijians,Fiji,,,,
Nations Championship Northern Series,2026,5,Murrayfield,,2026-11-15,15:10,Scotland,Scotland,Wallabies,Australia,,,,
Nations Championship Northern Series,2026,6,Twickenham Stadium,,2026-11-21,14:10,England,England,All Blacks,New Zealand,,,,
Nations Championship Northern Series,2026,6,Murrayfield,,2026-11-21,14:10,Scotland,Scotland,Brave Blossoms,Japan,,,,
Nations Championship Northern Series,2026,6,Aviva Stadium,,2026-11-21,16:40,Ireland,Ireland,Springboks,South Africa,,,,
Nations Championship Northern Series,2026,6,Bluenergy Stadium,,2026-11-21,16:40,Azzurri,Italy,Flying Fijians,Fiji,,,,
Nations Championship Northern Series,2026,6,Stade de France,,2026-11-21,20:10,Les Bleus,France,Los Pumas,Argentina,,,,
Nations Championship Northern Series,2026,6,Principality Stadium,,2026-11-21,20:10,Wales,Wales,Wallabies,Australia,,,,
