competition,season,round,venue,referee,date,kickoff_time,home_team,home_country,away_team,away_country,home_tries,away_tries,home_score,away_score
PREM,2026/27,1,Twickenham Stoop,,2026-09-25,19:45,Harlequins,England,Bath Rugby,England,,,,
PREM,2026/27,1,Cinch Stadium,,2026-09-25,19:45,Northampton Saints,England,Newcastle Red Bulls,England,,,,
PREM,2026/27,1,Sandy Park,,2026-09-26,15:05,Exeter Chiefs,England,Gloucester Rugby,England,,,,
PREM,2026/27,1,CorpAcq Stadium,,2026-09-26,17:30,Sale Sharks,England,Bristol Bears,England,,,,
PREM,2026/27,1,Mattioli Woods Welford Road,,2026-09-27,15:00,Leicester Tigers,England,Saracens,England,,,,
PREM,2026/27,2,The Recreation Ground,,2026-10-02,19:45,Bath Rugby,England,Exeter Chiefs,England,,,,
PREM,2026/27,2,Ashton Gate,,2026-10-03,15:05,Bristol Bears,England,Northampton Saints,England,,,,
PREM,2026/27,2,Kingsholm,,2026-10-03,17:30,Gloucester Rugby,England,Harlequins,England,,,,
PREM,2026/27,2,Kingston Park Stadium,,2026-10-03,19:45,Newcastle Red Bulls,England,Leicester Tigers,England,,,,
PREM,2026/27,2,StoneX Stadium,,2026-10-04,15:00,Saracens,England,Sale Sharks,England,,,,
PREM,2026/27,3,Mattioli Woods Welford Road,,2026-10-09,19:45,Leicester Tigers,England,Gloucester Rugby,England,,,,
PREM,2026/27,3,Cinch Stadium,,2026-10-10,15:05,Northampton Saints,England,Bath Rugby,England,,,,
PREM,2026/27,3,StoneX Stadium,,2026-10-10,17:30,Saracens,England,Bristol Bears,England,,,,
PREM,2026/27,3,CorpAcq Stadium,,2026-10-11,15:00,Sale Sharks,England,Harlequins,England,,,,
PREM,2026/27,3,Sandy Park,,2026-10-11,15:00,Exeter Chiefs,England,Newcastle Red Bulls,England,,,,
PREM,2026/27,4,Kingsholm,,2026-10-23,19:45,Gloucester Rugby,England,Bath Rugby,England,,,,
PREM,2026/27,4,Kingston Park Stadium,,2026-10-23,19:45,Newcastle Red Bulls,England,Sale Sharks,England,,,,
PREM,2026/27,4,Mattioli Woods Welford Road,,2026-10-24,15:05,Leicester Tigers,England,Northampton Saints,England,,,,
PREM,2026/27,4,Ashton Gate,,2026-10-24,17:30,Bristol Bears,England,Exeter Chiefs,England,,,,
PREM,2026/27,4,Twickenham Stoop,,2026-10-25,15:00,Harlequins,England,Saracens,England,,,,
PREM,2026/27,5,Ashton Gate,,2026-10-30,19:45,Bristol Bears,England,Leicester Tigers,England,,,,
PREM,2026/27,5,Sandy Park,,2026-10-31,15:00,Exeter Chiefs,England,Harlequins,England,,,,
PREM,2026/27,5,StoneX Stadium,,2026-10-31,15:00,Saracens,England,Newcastle Red Bulls,England,,,,
PREM,2026/27,5,The Recreation Ground,,2026-10-31,15:05,Bath Rugby,England,Sale Sharks,England,,,,
PREM,2026/27,5,Cinch Stadium,,2026-10-31,17:30,Northampton Saints,England,Gloucester Rugby,England,,,,
PREM,2026/27,6,The Recreation Ground,,2026-12-04,19:45,Bath Rugby,England,Bristol Bears,England,,,,
PREM,2026/27,6,Kingsholm,,2026-12-05,15:00,Gloucester Rugby,England,Newcastle Red Bulls,England,,,,
PREM,2026/27,6,Twickenham Stoop,,2026-12-05,15:05,Harlequins,England,Leicester Tigers,England,,,,
PREM,2026/27,6,StoneX Stadium,,2026-12-05,17:30,Saracens,England,Northampton Saints,England,,,,
PREM,2026/27,6,CorpAcq Stadium,,2026-12-06,15:00,Sale Sharks,England,Exeter Chiefs,England,,,,
PREM,2026/27,7,Kingston Park Stadium,,2026-12-18,19:45,Newcastle Red Bulls,England,Bath Rugby,England,,,,
PREM,2026/27,7,Kingsholm,,2026-12-19,15:00,Gloucester Rugby,England,Saracens,England,,,,
PREM,2026/27,7,Mattioli Woods Welford Road,,2026-12-19,15:05,Leicester Tigers,England,Sale Sharks,England,,,,
PREM,2026/27,7,Cinch Stadium,,2026-12-19,17:30,Northampton Saints,England,Exeter Chiefs,England,,,,
PREM,2026/27,7,Ashton Gate,,2026-12-20,15:00,Bristol Bears,England,Harlequins,England,,,,
PREM,2026/27,8,Ashton Gate,,2026-12-26,15:00,Bristol Bears,England,Newcastle Red Bulls,England,,,,
PREM,2026/27,8,The Recreation Ground,,2026-12-26,15:05,Bath Rugby,England,Leicester Tigers,England,,,,
PREM,2026/27,8,CorpAcq Stadium,,2026-12-26,17:30,Sale Sharks,England,Gloucester Rugby,England,,,,
PREM,2026/27,8,Sandy Park,,2026-12-27,15:05,Exeter Chiefs,England,Saracens,England,,,,
PREM,2026/27,8,Twickenham Stadium,,2026-12-28,17:00,Harlequins,England,Northampton Saints,England,,,,
PREM,2026/27,9,Kingsholm,,2027-01-01,19:45,Gloucester Rugby,England,Bristol Bears,England,,,,
