competition,season,round,venue,referee,date,kickoff_time,home_team,home_country,away_team,away_country,home_tries,away_tries,home_score,away_score
PWR,2026/27,1,Cinch Stadium,,2026-11-20,19:30,Loughborough Lightning,England,Trailfinders Women,England,,,,
PWR,2026/27,1,Morson Stadium,,2026-11-21,14:00,Sale Sharks Women,England,Gloucester-Hartpury,England,,,,
PWR,2026/27,1,StoneX Stadium,,2026-11-22,13:00,Saracens Women,England,Leicester Tigers Women,England,,,,
PWR,2026/27,1,Twickenham Stoop,,2026-11-22,15:00,Harlequins Women,England,Bristol Bears Women,England,,,,
PWR,2026/27,2,Kingsholm,,2026-11-28,14:00,Gloucester-Hartpury,England,Loughborough Lightning,England,,,,
PWR,2026/27,2,Shaftesbury Park,,2026-11-28,15:00,Bristol Bears Women,England,Exeter Chiefs Women,England,,,,
PWR,2026/27,2,Trailfinders Sports Club,,2026-11-28,19:00,Trailfinders Women,England,Harlequins Women,England,,,,
PWR,2026/27,2,Mattioli Woods Welford Road,,2026-11-29,13:00,Leicester Tigers Women,England,Sale Sharks Women,England,,,,
PWR,2026/27,3,Trailfinders Sports Club,,2026-12-04,19:30,Trailfinders Women,England,Bristol Bears Women,England,,,,
PWR,2026/27,3,Morson Stadium,,2026-12-05,14:00,Sale Sharks Women,England,Saracens Women,England,,,,
PWR,2026/27,3,Cinch Stadium,,2026-12-06,12:15,Loughborough Lightning,England,Exeter Chiefs Women,England,,,,
PWR,2026/27,3,Twickenham Stoop,,2026-12-06,14:30,Harlequins Women,England,Leicester Tigers Women,England,,,,
PWR,2026/27,4,Shaftesbury Park,,2026-12-11,19:45,Bristol Bears Women,England,Gloucester-Hartpury,England,,,,
PWR,2026/27,4,Sandy Park,,2026-12-12,15:05,Exeter Chiefs Women,England,Harlequins Women,England,,,,
PWR,2026/27,4,Mattioli Woods Welford Road,,2026-12-13,13:00,Leicester Tigers Women,England,Trailfinders Women,England,,,,
PWR,2026/27,4,StoneX Stadium,,2026-12-13,15:00,Saracens Women,England,Loughborough Lightning,England,,,,
PWR,2026/27,5,Sandy Park,,2026-12-19,12:00,Exeter Chiefs Women,England,Sale Sharks Women,England,,,,
PWR,2026/27,5,Mattioli Woods Welford Road,,2026-12-20,14:00,Leicester Tigers Women,England,Bristol Bears Women,England,,,,
PWR,2026/27,5,StoneX Stadium,,2026-12-20,15:00,Saracens Women,England,Gloucester-Hartpury,England,,,,
PWR,2026/27,5,Allianz Stadium Twickenham,,2026-12-28,14:00,Harlequins Women,England,Loughborough Lightning,England,,,,
PWR,2026/27,6,Trailfinders Sports Club,,2027-01-02,15:00,Trailfinders Women,England,Saracens Women,England,,,,
PWR,2026/27,6,TBD,,2027-01-02,00:00,Sale Sharks Women,England,Harlequins Women,England,,,,
PWR,2026/27,6,Kingsholm,,2027-01-03,12:15,Gloucester-Hartpury,England,Exeter Chiefs Women,England,,,,
PWR,2026/27,6,Cinch Stadium,,2027-01-03,18:00,Loughborough Lightning,England,Leicester Tigers Women,England,,,,
PWR,2026/27,7,Cinch Stadium,,2027-01-09,13:00,Loughborough Lightning,England,Sale Sharks Women,England,,,,
PWR,2026/27,7,StoneX Stadium,,2027-01-09,15:00,Saracens Women,England,Bristol Bears Women,England,,,,
PWR,2026/27,7,Sandy Park,,2027-01-10,13:00,Exeter Chiefs Women,England,Trailfinders Women,England,,,,
PWR,2026/27,7,Twickenham Stoop,,2027-01-10,15:00,Harlequins Women,England,Gloucester-Hartpury,England,,,,
PWR,2026/27,8,StoneX Stadium,,2027-01-16,15:00,Saracens Women,England,Exeter Chiefs Women,England,,,,
PWR,2026/27,8,Trailfinders Sports Club,,2027-01-16,17:00,Trailfinders Women,England,Sale Sharks Women,England,,,,
PWR,2026/27,8,Shaftesbury Park,,2027-01-16,19:45,Bristol Bears Women,England,Loughborough Lightning,England,,,,
PWR,2026/27,8,Mattioli Woods Welford Road,,2027-01-17,13:00,Leicester Tigers Women,England,Gloucester-Hartpury,England,,,,
PWR,2026/27,9,Kingsholm,,2027-01-23,00:00,Gloucester-Hartpury,England,Trailfinders Women,England,,,,
PWR,2026/27,9,Morson Stadium,,2027-01-23,00:00,Sale Sharks Women,England,Leicester Tigers Women,England,,,,
PWR,2026/27,9,Sandy Park,,2027-01-23,00:00,Exeter Chiefs Women,England,Bristol Bears Women,England,,,,
PWR,2026/27,9,Twickenham Stoop,,2027-01-23,00:00,Harlequins Women,England,Saracens Women,England,,,,
PWR,2026/27,10,Shaftesbury Park,,2027-02-06,00:00,Bristol Bears Women,England,Harlequins Women,England,,,,
PWR,2026/27,10,Trailfinders Sports Club,,2027-02-06,00:00,Trailfinders Women,England,Loughborough Lightning,England,,,,
PWR,2026/27,10,Kingsholm,,2027-02-06,00:00,Gloucester-Hartpury,England,Sale Sharks Women,England,,,,
PWR,2026/27,10,Mattioli Woods Welford Road,,2027-02-06,00:00,Leicester Tigers Women,England,Saracens Women,England,,,,
PWR,2026/27,11,Morson Stadium,,2027-02-13,00:00,Sale Sharks Women,England,Bristol Bears Women,England,,,,
PWR,2026/27,11,Cinch Stadium,,2027-02-13,00:00,Loughborough Lightning,England,Gloucester-Hartpury,England,,,,
PWR,2026/27,11,Twickenham Stoop,,2027-02-13,00:00,Harlequins Women,England,Trailfinders Women,England,,,,
PWR,2026/27,11,Sandy Park,,2027-02-13,00:00,Exeter Chiefs Women,England,Leicester Tigers Women,England,,,,
PWR,2026/27,12,Shaftesbury Park,,2027-02-20,00:00,Bristol Bears Women,England,Saracens Women,England,,,,
PWR,2026/27,12,Trailfinders Sports Club,,2027-02-20,00:00,Trailfinders Women,England,Exeter Chiefs Women,England,,,,
PWR,2026/27,12,Kingsholm,,2027-02-20,00:00,Gloucester-Hartpury,England,Harlequins Women,England,,,,
PWR,2026/27,12,Morson Stadium,,2027-02-20,00:00,Sale Sharks Women,England,Loughborough Lightning,England,,,,
PWR,2026/27,13,Shaftesbury Park,,2027-02-27,00:00,Bristol Bears Women,England,Trailfinders Women,England,,,,
PWR,2026/27,13,Sandy Park,,2027-02-27,00:00,Exeter Chiefs Women,England,Loughborough Lightning,England,,,,
PWR,2026/27,13,StoneX Stadium,,2027-02-27,00:00,Saracens Women,England,Sale Sharks Women,England,,,,
PWR,2026/27,13,Mattioli Woods Welford Road,,2027-02-27,00:00,Leicester Tigers Women,England,Harlequins Women,England,,,,
PWR,2026/27,14,Trailfinders Sports Club,,2027-03-13,00:00,Trailfinders Women,England,Leicester Tigers Women,England,,,,
PWR,2026/27,14,Kingsholm,,2027-03-13,00:00,Gloucester-Hartpury,England,Bristol Bears Women,England,,,,
PWR,2026/27,14,Cinch Stadium,,2027-03-13,00:00,Loughborough Lightning,England,Saracens Women,England,,,,
PWR,2026/27,14,Twickenham Stoop,,2027-03-13,00:00,Harlequins Women,England,Exeter Chiefs Women,England,,,,
PWR,2026/27,15,Shaftesbury Park,,2027-03-20,00:00,Bristol Bears Women,England,Sale Sharks Women,England,,,,
PWR,2026/27,15,Trailfinders Sports Club,,2027-03-20,00:00,Trailfinders Women,England,Gloucester-Hartpury,England,,,,
PWR,2026/27,15,StoneX Stadium,,2027-03-20,00:00,Saracens Women,England,Harlequins Women,England,,,,
PWR,2026/27,15,Mattioli Woods Welford Road,,2027-03-20,00:00,Leicester Tigers Women,England,Exeter Chiefs Women,England,,,,
PWR,2026/27,16,Kingsholm,,2027-03-27,00:00,Gloucester-Hartpury,England,Leicester Tigers Women,England,,,,
PWR,2026/27,16,Morson Stadium,,2027-03-27,00:00,Sale Sharks Women,England,Trailfinders Women,England,,,,
