name,town_city,country
Affidea Stadium,Belfast,Northern Ireland
Allianz Stadium Twickenham,London,England
Ashton Gate,Bristol,England
Aviva Stadium,Dublin,Ireland
Cardiff Arms Park,Cardiff,Wales
Dexcom Stadium,Galway,Ireland
Hive Stadium,Edinburgh,Scotland
Murrayfield,Edinburgh,Scotland
Principality Stadium,Cardiff,Wales
Stade Atlantique Bordeaux Metropole,Bordeaux,France
Stade de France,Paris,France
Stade des Alpes,Grenoble,France
Stade Marcel-Michelin,Clermont-Ferrand,France
Stadio Sergio Lanfranchi,Parma,Italy
Twickenham Stadium,London,England
