competition,season,round,venue,referee,date,kickoff_time,home_team,home_country,away_team,away_country,home_tries,away_tries,home_score,away_score
WXV Global Series,2026,1,Stade de Gerland,,2026-09-12,,France Women,France Women,New Zealand Women,New Zealand Women,,,,
WXV Global Series,2026,1,CorpAcq Stadium,,2026-09-12,15:00,England Women,England Women,Australia Women,Australia Women,,,,
WXV Global Series,2026,1,Edinburgh Rugby Stadium,,2026-09-12,,Scotland Women,Scotland Women,Canada Women,Canada Women,,,,
WXV Global Series,2026,2,Cardiff Arms Park,,2026-09-18,,Wales,Wales Women,South Africa Women,South Africa Women,,,,
WXV Global Series,2026,2,Stade Maurice David,,2026-09-19,,France Women,France Women,Australia Women,Australia Women,,,,
WXV Global Series,2026,2,Sandy Park,,2026-09-19,15:00,England Women,England Women,Canada Women,Canada Women,,,,
WXV Global Series,2026,2,Edinburgh Rugby Stadium,,2026-09-19,,Scotland Women,Scotland Women,New Zealand Women,New Zealand Women,,,,
WXV Global Series,2026,2,Stadio Omero Tognon,,2026-09-19,,Italy Women,Italy Women,Japan Women,Japan Women,,,,
WXV Global Series,2026,2,Tallaght Stadium,,2026-09-20,,Ireland Women,Ireland Women,USA Women,USA Women,,,,
WXV Global Series,2026,3,Stade Marcel-Deflandre,,2026-09-26,,France Women,France Women,Canada Women,Canada Women,,,,
WXV Global Series,2026,3,Allianz Stadium,,2026-09-26,15:00,England Women,England Women,New Zealand Women,New Zealand Women,,,,
WXV Global Series,2026,3,Edinburgh Rugby Stadium,,2026-09-26,,Scotland Women,Scotland Women,Australia Women,Australia Women,,,,
WXV Global Series,2026,3,Cardiff Arms Park,,2026-09-26,,Wales,Wales Women,USA Women,USA Women,,,,
WXV Global Series,2026,3,Stadio Omero Tognon,,2026-09-26,,Italy Women,Italy Women,South Africa Women,South Africa Women,,,,
WXV Global Series,2026,3,Dexcom Stadium,,2026-09-27,,Ireland Women,Ireland Women,Japan Women,Japan Women,,,,
WXV Global Series,2026,4,BMO Field,,2026-10-16,19:00,Canada Women,Canada Women,England Women,England Women,,,,
WXV Global Series,2026,4,Stadium Australia,,2026-10-17,13:00,Australia Women,Australia Women,Scotland Women,Scotland Women,,,,
WXV Global Series,2026,4,FMG Stadium Waikato,,2026-10-17,15:05,New Zealand Women,New Zealand Women,France Women,France Women,,,,
WXV Global Series,2026,4,Texas Health Mansfield Stadium,,2026-10-17,17:00,USA Women,USA Women,Italy Women,Italy Women,,,,
WXV Global Series,2026,5,TD Place Stadium,,2026-10-23,19:00,Canada Women,Canada Women,England Women,England Women,,,,
WXV Global Series,2026,5,GIO Stadium,,2026-10-23,19:45,Australia Women,Australia Women,Scotland Women,Scotland Women,,,,
WXV Global Series,2026,5,Semenoff Stadium,,2026-10-24,15:05,New Zealand Women,New Zealand Women,France Women,France Women,,,,
WXV Global Series,2026,5,GEODIS Park,,2026-10-24,15:15,USA Women,USA Women,Italy Women,Italy Women,,,,
WXV Global Series,2026,5,Athlone Stadium,,2026-10-24,,South Africa Women,South Africa Women,Ireland Women,Ireland Women,,,,
WXV Global Series,2026,6,Sports Illustrated Stadium,,2026-10-30,17:15,USA Women,USA Women,England Women,England Women,,,,
WXV Global Series,2026,6,One New Zealand Stadium,,2026-10-31,19:10,New Zealand Women,New Zealand Women,France Women,France Women,,,,
WXV Global Series,2026,6,Athlone Stadium,,2026-10-31,15:00,South Africa Women,South Africa Women,Ireland Women,Ireland Women,,,,
